STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
1,2020,4894273,224145,3.125558177894858,Alabama
2,2020,704486,30216,3.0023549084013026,Alaska
4,2020,7015059,324228,3.055708726042076,Arizona
5,2020,2935348,138493,2.981418216851971,Arkansas
6,2020,38476250,1749983,2.894905064812709,California
8,2020,5645717,267166,3.1868513777789427,Colorado
9,2020,3499042,163404,2.9891536026146586,Connecticut
10,2020,969992,43657,3.1571002647444515,Delaware
11,2020,641816,29237,2.4603640295661062,District of Columbia
12,2020,21161442,914372,2.924356761698943,Florida
13,2020,10472621,445919,3.2395229427284726,Georgia
15,2020,1409907,69058,3.0486578192746046,Hawaii
16,2020,1805642,84097,3.2691845891932068,Idaho
17,2020,12477820,594328,3.00702125852112,Illinois
18,2020,6604292,312218,3.06522576530535,Indiana
19,2020,3089878,153968,3.102625734737747,Iowa
20,2020,2848003,139452,3.1633035498909234,Kansas
21,2020,4379777,210378,3.0460005155513628,Kentucky
22,2020,4516385,196117,3.015426718492777,Louisiana
23,2020,1328708,63538,2.9211271400488292,Maine
24,2020,6034445,279631,3.228384880465395,Maryland
25,2020,6754251,317176,2.953723810382528,Massachusetts
26,2020,9838226,476408,3.0704583326302934,Michigan
27,2020,5557241,270183,3.1741401893493553,Minnesota
28,2020,2863919,128136,3.075221051992043,Mississippi
29,2020,5985747,291781,3.051219672331624,Missouri
30,2020,1062053,50792,3.1172869903856024,Montana
31,2020,1909924,93343,3.129320328976441,Nebraska
32,2020,3067081,139013,3.061820995272052,Nevada
33,2020,1338974,64038,2.9462013452090927,New Hampshire
34,2020,9071071,413768,3.0088651053442312,New Jersey
35,2020,2067536,89643,2.9865216373499663,New Mexico
36,2020,19393500,902061,2.791388403331013,New York
37,2020,10192603,464947,3.066664423209655,North Carolina
38,2020,749636,37518,3.1785546585276054,North Dakota
39,2020,11479592,550981,3.055724105874146,Ohio
40,2020,3853524,178551,3.012731203957728,Oklahoma
41,2020,4129453,194727,2.94116339379574,Oregon
42,2020,12568331,611151,3.0810935039823506,Pennsylvania
44,2020,1049253,46309,2.838471750855132,Rhode Island
45,2020,5002674,228988,3.1168692982992696,South Carolina
46,2020,857806,42568,3.225640762596671,South Dakota
47,2020,6771069,313806,3.056838144759712,Tennessee
48,2020,28631256,1211253,3.0330354001934112,Texas
49,2020,3229807,156832,3.6612859529996684,Utah
50,2020,618873,30604,2.930431607131027,Vermont
51,2020,8386280,390168,3.2206273818665725,Virginia
53,2020,7530262,361475,3.028295031434497,Washington
54,2020,1741106,81370,3.0397770152994705,West Virginia
55,2020,5737418,285838,3.0182031359751025,Wisconsin
56,2020,564463,27787,3.217061171414247,Wyoming
