STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
53,2000,5761604,57774,1.3266609466160113,Washington
54,2000,1763247,17602,1.140412413386593,West Virginia
55,2000,5207195,52837,1.1882557627795152,Wisconsin
56,2000,479321,4909,1.1511437359653918,Wyoming
1,2010,4662328,231186,1.088984569511203,Alabama
2,2010,684891,32167,1.2948475499507766,Alaska
4,2010,6268908,307953,1.2336798503556503,Arizona
5,2010,2836093,139786,1.1442160159534067,Arkansas
6,2010,36497576,1738027,1.4753690633226344,California
8,2010,4926495,242244,1.1196359548387524,Colorado
9,2010,3453840,170699,1.1533291930141547,Connecticut
10,2010,875458,41669,1.1001003665129183,Delaware
11,2010,565879,27141,1.3043157341646054,District of Columbia
12,2010,18461535,910509,1.1694102395421968,Florida
13,2010,9454781,458325,1.134913581463879,Georgia
15,2010,1319269,65828,1.406492484348017,Hawaii
16,2010,1538681,76323,1.1344028099391699,Idaho
17,2010,12520522,612917,1.2192542664488502,Illinois
18,2010,6297918,316742,1.1371165200944218,Indiana
19,2010,2948220,148296,1.0873938172863629,Iowa
20,2010,2771928,137182,1.1211961974962203,Kansas
21,2010,4214385,211432,1.1078574295735462,Kentucky
22,2010,4401794,212334,1.1566494933656615,Louisiana
23,2010,1293440,62128,1.0781118052119485,Maine
24,2010,5645634,277167,1.1259639336638996,Maryland
25,2010,6316476,315512,1.159391481368203,Massachusetts
26,2010,9666286,480755,1.1174208498141551,Michigan
27,2010,5176173,258739,1.1078090544243173,Minnesota
28,2010,2874376,139673,1.1425443006296596,Mississippi
29,2010,5808612,292358,1.115664958628099,Missouri
30,2010,962040,46136,1.0658251042922648,Montana
31,2010,1776057,88029,1.1207131490336923,Nebraska
32,2010,2668131,129426,1.2274674169546695,Nevada
33,2010,1277491,63636,1.1177794729408448,New Hampshire
34,2010,8605827,424385,1.266236955882722,New Jersey
35,2010,2012373,93207,1.2086492497497585,New Mexico
36,2010,18808674,917000,1.3643716829798773,New York
37,2010,9286780,457229,1.1107086076479926,North Carolina
38,2010,651023,32887,1.0143270923863936,North Dakota
39,2010,11225305,565900,1.0963247086233605,Ohio
40,2010,3638185,177501,1.160440324868936,Oklahoma
41,2010,3750413,184989,1.166458067418176,Oregon
42,2010,12270919,604437,1.0888408928459226,Pennsylvania
44,2010,1009510,49919,1.1676722040065588,Rhode Island
45,2010,4490094,222754,1.0940447683277879,South Carolina
46,2010,782064,39194,1.0902405898579455,South Dakota
47,2010,6200053,306982,1.1126608030608793,Tennessee
48,2010,24625021,1172089,1.298660297589193,Texas
49,2010,2720196,135199,1.1872661136673077,Utah
50,2010,600360,30178,1.0649341228596174,Vermont
51,2010,7772641,383760,1.0949797780016681,Virginia
53,2010,6597034,327389,1.1695696707540557,Washington
54,2010,1801372,87856,1.0690263773020479,West Virginia
55,2010,5537612,282534,1.1077990115594962,Wisconsin
56,2010,549070,27544,1.0767194528930748,Wyoming
1,2020,4894273,224145,1.0545619032693925,Alabama
2,2020,704486,30216,1.2896477242509667,Alaska
4,2020,7015059,324228,1.2090489878037045,Arizona
5,2020,2935348,138493,1.1357330999027415,Arkansas
6,2020,38476250,1749983,1.4412635565229654,California
8,2020,5645717,267166,1.0901016115402165,Colorado
9,2020,3499042,163404,1.1374615347095853,Connecticut
10,2020,969992,43657,1.0691359825648026,Delaware
11,2020,641816,29237,1.269867999551274,District of Columbia
12,2020,21161442,914372,1.166222660220099,Florida
13,2020,10472621,445919,1.1001091528726863,Georgia
15,2020,1409907,69058,1.3979977166342659,Hawaii
16,2020,1805642,84097,1.1295984198418065,Idaho
17,2020,12477820,594328,1.1690925898915048,Illinois
18,2020,6604292,312218,1.1131672075270616,Indiana
19,2020,3089878,153968,1.0693391885807013,Iowa
20,2020,2848003,139452,1.1016407988334318,Kansas
21,2020,4379777,210378,1.1050635416673809,Kentucky
22,2020,4516385,196117,1.1144990776177406,Louisiana
23,2020,1328708,63538,1.0648458878850742,Maine
24,2020,6034445,279631,1.1284531662260047,Maryland
25,2020,6754251,317176,1.1593369346208773,Massachusetts
26,2020,9838226,476408,1.0921557250260334,Michigan
27,2020,5557241,270183,1.0965413712787873,Minnesota
28,2020,2863919,128136,1.0957091197993574,Mississippi
29,2020,5985747,291781,1.0941812553498682,Missouri
30,2020,1062053,50792,1.069795653638131,Montana
31,2020,1909924,93343,1.1140357679153718,Nebraska
32,2020,3067081,139013,1.200237712448196,Nevada
33,2020,1338974,64038,1.1033413519107445,New Hampshire
34,2020,9071071,413768,1.2484060096101222,New Jersey
35,2020,2067536,89643,1.1499507142801861,New Mexico
36,2020,19393500,902061,1.3618670929263312,New York
37,2020,10192603,464947,1.08091272007095,North Carolina
38,2020,749636,37518,1.0530067259309894,North Dakota
39,2020,11479592,550981,1.0811601768309074,Ohio
40,2020,3853524,178551,1.1430569049697483,Oklahoma
41,2020,4129453,194727,1.1711511104900918,Oregon
42,2020,12568331,611151,1.0825522643645615,Pennsylvania
44,2020,1049253,46309,1.161024732198362,Rhode Island
45,2020,5002674,228988,1.0522027486367003,South Carolina
46,2020,857806,42568,1.0793999070496907,South Dakota
47,2020,6771069,313806,1.105453602181089,Tennessee
48,2020,28631256,1211253,1.260913362771553,Texas
49,2020,3229807,156832,1.1562670978998633,Utah
50,2020,618873,30604,1.0614666498619225,Vermont
51,2020,8386280,390168,1.0819477368590897,Virginia
53,2020,7530262,361475,1.179877333617344,Washington
54,2020,1741106,81370,1.0476983978383132,West Virginia
55,2020,5737418,285838,1.0770143991600472,Wisconsin
56,2020,564463,27787,1.036548719756653,Wyoming
